date,P,D,E,CPI,GS10,real_P,real_D,real_E,E10,CAPE
2001-10-31,1076.59,15.740000000000002,27.103333333333335,177.7,4.57,2030.346048944851,29.68413863252674,51.114301402175954,71.04732967900576,28.57737311336011
2001-11-30,1129.68,15.740000000000002,25.896666666666665,177.4,4.65,2134.071546899662,29.734337288613307,48.92123388293874,71.12361817969318,30.005103811056816
2001-12-31,1144.93,15.74,24.69,176.7,5.09,2171.4485143322017,29.852130362195815,46.82649927843803,71.19514237205493,30.499953255020458
2002-01-31,1140.21,15.736666666666668,24.69333333333333,177.1,5.04,2157.6124297148504,29.7783983672125,46.72704408055712,71.26194343611081,30.277204433095996
2002-02-28,1100.67,15.733333333333334,24.69666666666667,177.8,4.91,2074.5911637654667,29.654877765279338,46.54936215316835,71.3268330353354,29.08570415200843
2002-03-31,1153.79,15.73,24.7,178.8,5.28,2162.5512427153244,29.482775069910513,46.29526663870246,71.38986914951916,30.29213064091868
2002-04-30,1111.93,15.833333333333332,25.38,179.8,5.21,2072.501775486652,29.51140039859102,47.30522160734149,71.45108312686249,29.005883253118693
2002-05-31,1079.25,15.936666666666667,26.06,179.8,5.16,2011.5902450639599,29.70400111698183,48.57265859288097,71.51530704447893,28.128107508688338
2002-06-30,1014.02,16.04,26.74,179.9,4.93,1888.9588994163423,29.87998337965536,49.812391245136176,71.58489997434353,26.387672541183363
2002-07-31,903.59,15.96,27.84,180.1,4.65,1681.3760391310384,29.69793997779012,51.80392537479178,71.66037618333475,23.463120467431445
2002-08-31,912.55,15.879999999999999,28.939999999999998,180.7,4.26,1692.4103314194797,29.450962755949085,53.67196864969563,71.74661430137499,23.58871352884237
2002-09-30,867.81,15.8,30.04,181.0,3.87,1606.76819448895,29.2540273480663,55.61968237569061,71.84285940459488,22.36503680122433
2002-10-31,854.63,15.89,29.223333333333333,181.3,3.94,1579.7467865830115,29.37198137065637,54.01807440246368,71.94980689278107,21.956233863659083
2002-11-30,909.93,15.98,28.406666666666666,181.3,4.05,1681.9664574324322,29.538342498621066,52.508501204265485,72.03777172604208,23.34839650272513
2002-12-31,899.18,16.07,27.59,180.9,4.03,1665.770714731896,29.770385668877832,51.111695121614154,72.10678346231002,23.10144253768564
2003-01-31,895.84,16.119999999999997,28.5,181.7,4.05,1652.2763013758943,29.73153015960374,52.5650502201431,72.15700712423491,22.89834857661322
2003-02-28,837.03,16.169999999999998,29.41,183.1,3.9,1532.0037575505187,29.595714322774437,53.828692531403604,72.21629030717041,21.214102123415287
2003-03-31,846.63,16.22,30.32,184.2,3.81,1540.3207948289903,29.509943295331162,55.16285331161781,72.2825483000509,21.309719026990994
2003-04-30,890.03,16.203333333333333,31.73,183.8,3.96,1622.8048218579977,29.54377657326804,57.85377683623503,72.35639351683065,22.4279395777309
2003-05-31,935.96,16.186666666666667,33.13999999999999,183.5,3.57,1709.339667520436,29.56163876475931,60.523437520435955,72.45703183841154,23.591080453481485
2003-06-30,988.0,16.17,34.55,183.7,3.33,1802.4156069678825,29.499048952095812,63.02981702504083,72.58373880301203,24.832223259531062
2003-07-31,992.54,16.310000000000002,35.89333333333333,183.9,3.98,1808.7287418977703,29.722092591082113,65.4092566974805,72.73514314834419,24.867329101268783
2003-08-31,989.53,16.450000000000003,37.236666666666665,184.6,4.45,1796.405680566089,29.863544758938254,67.59993080083062,72.89941372167155,24.642251409932165
2003-09-30,1019.44,16.59,38.58,185.2,4.27,1844.7088815334776,30.020129036177106,69.81172864470842,73.07604866167271,25.243686752606255
2003-10-31,1038.73,16.85666666666667,41.96666666666667,185.0,4.29,1881.6467617972974,30.535646653153158,76.02210626126127,73.26498591608616,25.68275607057969
2003-11-30,1049.9,17.123333333333335,45.35333333333333,184.5,4.3,1907.0352302168023,31.102771621499553,82.37965946702799,73.49790190540588,25.946798218420124
2003-12-31,1080.64,17.39,48.74,184.3,4.27,1965.0013573521435,31.621422124253932,88.6272636190993,73.77468661349876,26.63517051108153
2004-01-31,1132.52,17.6,49.826666666666675,185.2,4.15,2049.3307134449246,31.84775593952484,90.16292723182147,74.09395749330926,27.658540355736577
2004-02-29,1143.36,17.810000000000002,50.913333333333334,186.2,4.08,2057.83461783029,32.05467616809882,91.63449818295742,74.42207823741647,27.650862036740225
2004-03-31,1123.98,18.02,52.0,187.4,3.83,2010.0004188633939,32.22495733724653,92.99099786552827,74.7586389970515,26.886530384035865
2004-04-30,1133.36,18.213333333333335,53.38333333333333,188.0,4.35,2020.306134787234,32.46674407801419,95.16012196365249,75.10270491973638,26.90057750844489
2004-05-31,1102.78,18.406666666666666,54.76666666666667,189.1,4.72,1954.3597207562136,32.62051173100652,97.05813251366122,75.44970591433399,25.90281429294376
2004-06-30,1132.76,18.6,56.15,189.7,4.73,2001.1411607274645,32.85888060094887,99.1949540722193,75.797111123558,26.401285366474912
2004-07-31,1105.85,18.78666666666667,56.69,189.4,4.5,1956.6961864440334,33.24121627947906,100.30755238912353,76.14822018339406,25.695888646268553
2004-08-31,1088.94,18.973333333333333,57.23,189.5,4.28,1925.7587848812666,33.553789322779245,101.20959397097624,76.49652125858756,25.17446222647777
2004-09-30,1117.66,19.16,57.77,189.9,4.13,1972.385923723012,33.8125318062138,101.94937173512375,76.84099527126517,25.66840677635769
2004-10-31,1117.21,19.253333333333334,58.03,190.9,4.1,1961.2639106993188,33.79925692334555,101.87175619434258,77.1796980297841,25.411655665489327
2004-11-30,1168.94,19.346666666666668,58.29,191.0,4.19,2051.001621649215,33.9453220069808,102.27461163612566,77.49773414717843,26.465310814818043
2004-12-31,1199.21,19.44,58.55,190.3,4.23,2111.8526066868103,34.23454997372569,103.10868832107198,77.79950230763423,27.144808694741233
2005-01-31,1181.41,19.703333333333333,59.10666666666666,190.7,4.22,2076.142221303094,34.62550870040203,103.8706682922566,78.08788674270797,26.58725069797038
2005-02-28,1199.63,19.96666666666667,59.663333333333334,191.8,4.17,2096.070404887904,34.88703940736879,104.24759905717761,78.37282228173139,26.744863128101173
2005-03-31,1194.9,20.23,60.22,193.3,4.5,2071.604558846353,35.07285984221417,104.40373799793068,78.65117810361829,26.339142131057923
2005-04-30,1164.43,20.46333333333333,61.23333333333333,194.6,4.34,2005.292368229702,35.24038899880095,105.45136763446384,78.92079495992536,25.40892256911446
2005-05-31,1178.28,20.696666666666665,62.24666666666667,194.4,4.14,2031.2313763888887,35.67888678412208,107.30673728566529,79.18959641164798,25.650230187182963
2005-06-30,1202.25,20.93,63.26,194.5,4.0,2071.4875671593827,36.06257831619537,108.99754917737789,79.46356411048467,26.068394871883985
2005-07-31,1222.24,21.11,64.33,195.4,4.18,2096.230734698055,36.205189495905834,110.33064141504606,79.74136541606119,26.287871091254736
2005-08-31,1224.27,21.29,65.39999999999999,196.4,4.26,2089.021333082994,36.32798662169043,111.59466064154785,80.02569760982045,26.104381410936142
2005-09-30,1225.92,21.47,66.47,198.8,4.2,2066.5832317907443,36.19285270372233,112.05118394114687,80.31765851180391,25.730122990164464
2005-10-31,1191.96,21.72,67.58999999999999,199.2,4.46,2005.300667620482,36.540765210843375,113.71041991716865,80.61011581624166,24.876538723647954
2005-11-30,1237.37,21.97,68.71,197.6,4.54,2098.552280326417,37.26063634868421,116.53064740637652,80.9258759922037,25.93178330906902
2005-12-31,1262.07,22.22,69.83,196.8,4.47,2149.1439241234752,37.83782040142276,118.91156609502032,81.27211940108198,26.443803114292397
2006-01-31,1278.73,22.406666666666666,70.77666666666666,198.3,4.42,2161.0424151916286,37.86706892755085,119.61194206169101,81.64519605176524,26.46870262668571
2006-02-28,1276.65,22.593333333333334,71.72333333333334,198.7,4.57,2153.1839477226977,38.10566925851367,120.9677907104513,82.02722770764554,26.24962476358329
2006-03-31,1293.74,22.78,72.67,199.8,4.72,2169.9946993743742,38.20897494994995,121.88964923673673,82.42206282251662,26.327837778667682
2006-04-30,1302.17,23.0,73.27666666666666,201.5,4.99,2165.7074282506205,38.252509925558314,121.87027908602148,82.82725201520341,26.14728094387452
2006-05-31,1290.01,23.22,73.88333333333333,202.5,5.11,2134.8885123580244,38.42769533333333,122.27244718106994,83.22944196981234,25.65064070875733
2006-06-30,1253.17,23.44,74.49,202.9,5.11,2069.8319839452934,38.71530734351897,123.03341484721535,83.63098672681295,24.749582241646372
2006-07-31,1260.24,23.66,75.85,203.5,5.09,2075.3722115970513,38.96345658476658,124.91032045454546,84.03409849181288,24.6967867668533
2006-08-31,1287.15,23.88,77.21,203.9,4.88,2115.529502390878,39.24860701324178,126.90054218979891,84.4475776229455,25.05139356201096
2006-09-30,1317.74,24.1,78.57,202.9,4.72,2176.48076360276,39.80541412025629,129.77225673977327,84.87238676099277,25.644156440797392
2006-10-31,1363.38,24.36,79.55,201.8,4.73,2264.1380740584736,40.45416793855302,132.10710424925668,85.31670198667594,26.53804028210172
2006-11-30,1388.64,24.619999999999997,80.53,201.5,4.6,2309.5202340446654,40.94681714640198,133.93367931761787,85.76643254180108,26.928020270856493
2006-12-31,1416.42,24.88,81.51,201.8,4.56,2352.2205480921707,41.31772160555004,135.36203730178394,86.21659251367866,27.28268978757169
2007-01-31,1424.16,25.083333333333332,82.05666666666667,202.416,4.76,2357.8767293099363,41.52862596912628,135.8551741504295,86.66263172046527,27.207536656807143
2007-02-28,1444.8,25.286666666666665,82.60333333333334,203.499,4.72,2379.3186266271578,41.64246747322263,136.03242637146457,87.10608912338314,27.315181413516623
2007-03-31,1406.95,25.49,83.15,205.352,4.56,2296.079271141747,41.59853628160426,135.69706911790487,87.54437252601528,26.22760555465091
2007-04-30,1463.64,25.71666666666667,83.74000000000001,206.686,4.69,2373.1782554696497,41.69757190053189,135.7778873992433,87.9728147655395,26.976268314189095
2007-05-31,1511.14,25.943333333333335,84.33000000000001,207.949,4.75,2435.314285161265,41.80960749590845,135.90405499665783,88.40100656032902,27.548490451851265
2007-06-30,1514.19,26.17,84.92,208.352,5.1,2435.509629365209,42.093321842362926,136.590175424282,88.82800680787169,27.41826274041062
2007-07-31,1520.71,26.440000000000005,82.81333333333333,208.299,5.0,2446.619133685231,42.538426060614796,133.23558460034212,89.25980532279229,27.410088167204332
2007-08-31,1454.62,26.71,80.70666666666666,207.917,4.67,2344.5889040097727,43.05177271459284,130.08480231695017,89.6640072274317,26.148607189312326
2007-09-30,1497.12,26.98,78.6,208.49,4.52,2406.459371096935,43.36744805506259,126.34104585351814,90.04274892571453,26.725743047696923
2007-10-31,1539.66,27.230000000000004,74.46000000000001,208.936,4.53,2469.5549949027454,43.67586513334227,119.43095548397596,90.39152303818285,27.320648130462025
2007-11-30,1463.39,27.480000000000004,70.32000000000001,210.177,4.15,2333.3615933118276,43.81660157866941,112.12457871222827,90.68975608069448,25.729053579498384
2007-12-31,1479.22,27.73,66.18,210.036,4.1,2360.1857410396315,44.2449065041231,105.59422691824258,90.93197288244113,25.955510105240233
2008-01-31,1378.76,27.92,64.25,211.08,3.74,2189.0150165340156,44.32772872844419,102.00775683390182,91.12422199754305,24.02231776083682
2008-02-29,1354.87,28.11,62.32,211.693,3.74,2144.8566909038086,44.50015247315688,98.65704383234211,91.28889743531937,23.49526340181178
2008-03-31,1316.94,28.3,60.39,213.528,3.51,2066.8944903478705,44.415929409726125,94.78014053192088,91.4279552640437,22.606810842249338
2008-04-30,1370.47,28.436666666666667,57.383333333333326,214.823,3.68,2137.9419399575463,44.36138135038303,89.51836595321107,91.53700203805097,23.356040643201602
2008-05-31,1403.22,28.573333333333334,54.376666666666665,216.632,3.88,2170.7524894983194,44.20235919285547,84.11958533750014,91.60672285240463,23.69643211662318
2008-06-30,1341.25,28.71,51.37,218.815,4.1,2054.1861461165827,43.970687235792795,78.67552083952198,91.63595932368558,22.416812802281946
2008-07-31,1257.33,28.756666666666668,49.56333333333333,219.964,4.01,1915.5999644600934,43.8121015522237,75.51201321201044,91.623908142926,20.90720646266158
2008-08-31,1281.47,28.803333333333335,47.75666666666667,219.086,3.89,1960.2026332924056,44.0590648611352,73.05106148194469,91.59133164167625,21.40161736004793
2008-09-30,1216.95,28.85,45.95,218.783,3.69,1864.087579873665,44.19156635798942,70.38483445925873,91.54407187208348,20.362733946097514
2008-10-31,968.8,28.696666666666665,35.593333333333334,216.573,3.81,1499.1219690358444,44.40524714915217,55.07715519324508,91.48040225844424,16.387356548789832
2008-11-30,883.04,28.543333333333333,25.236666666666668,212.425,3.53,1393.098744309756,45.030442363971595,39.81378945902475,91.29291206781248,15.259659405704582
2008-12-31,877.56,28.39,14.88,210.228,2.42,1398.9217154232545,45.2566063868752,23.720264284491126,90.9803829989408,15.376080747423769
2009-01-31,865.58,28.013333333333335,12.206666666666667,211.143,2.52,1373.8448061029728,44.462640659016245,19.374368169123926,90.53550696369209,15.174651936879668
2009-02-28,805.23,27.63666666666667,9.533333333333333,212.193,2.87,1271.73330438563,43.647739679599866,15.05639072291106,90.05218331156372,14.122181801918899
2009-03-31,757.13,27.26,6.86,212.709,2.82,1192.86621878952,42.94841457108068,10.808001612531674,89.52986891526022,13.323667656863929
2009-04-30,848.15,26.703333333333333,7.076666666666666,213.24,2.93,1332.941665670137,41.966616296973676,11.121598601732007,88.9703342269303,14.98186645303925
2009-05-31,902.41,26.14666666666667,7.293333333333333,213.856,3.29,1414.1308958013801,40.97340361427005,11.42909320602025,88.40331619507148,15.996355755263155
2009-06-30,926.12,25.59,7.51,215.693,3.72,1438.925679229275,39.75954318174443,11.668392703982049,87.82407370388819,16.384182816215347
2009-07-31,935.82,25.026666666666664,9.186666666666667,215.351,3.56,1456.3058051970968,38.94603657904227,14.296121045796554,87.23203846082768,16.694620816995624
2009-08-31,1009.73,24.46333333333333,10.863333333333333,215.834,3.59,1567.8068269248588,37.98419479399291,16.86748750969109,86.64755050233612,18.094069801576087
2009-09-30,1044.55,23.9,12.54,215.969,3.4,1620.8579929874195,37.08631088258037,19.45867524968861,86.06979635900225,18.831902264840085
2009-10-31,1067.66,23.403333333333332,25.349999999999998,216.177,3.39,1655.124386104905,36.28067710333045,39.29846878946419,85.50075752559066,19.358008443486842
2009-11-30,1088.07,22.906666666666666,38.16,216.33,3.4,1685.5717226806264,35.48561176597482,59.11514602690333,85.07505419751998,19.812761079966055
2009-12-31,1110.38,22.41,50.97,215.949,3.59,1723.1678548870336,34.77745603128516,79.09892610060709,84.79165096014594,20.322376500216546
2010-01-31,1123.58,22.24,54.28999999999999,216.687,3.73,1737.713976357603,34.39609002847424,83.96419638695443,84.65149280854325,20.527859801454422
2010-02-28,1089.16,22.07,57.61,216.741,3.69,1684.0607789481455,34.12466615684157,89.07666593999288,84.53891498761536,19.92053930660045
2010-03-31,1152.05,21.9,60.93,217.631,3.73,1774.0167727139055,33.723334336560505,93.82478361308821,84.45848388177731,21.004601209715368
2010-04-30,1197.32,21.946666666666665,62.986666666666665,218.009,3.85,1840.5302731997303,33.73659873369142,96.82362844347405,84.40923210349952,21.80484559962516
2010-05-31,1125.06,21.993333333333332,65.04333333333332,218.178,3.42,1728.1119717157549,33.78214729104981,99.90770537894134,84.38018456996674,20.48006863842341
2010-06-30,1083.36,22.04,67.1,217.965,3.2,1665.6861920033032,33.88691078842933,103.1675006308352,84.37254733268078,19.742039853739463
2010-07-31,1079.8,22.143333333333334,68.68666666666667,218.011,3.01,1659.8623232313964,34.03860410330977,105.58474727574908,84.39122357633681,19.66866047071771
2010-08-31,1087.28,22.246666666666666,70.27333333333333,218.312,2.7,1669.0561298508555,34.15029741073937,107.87482319646497,84.42240125610063,19.770299174358588
2010-09-30,1122.08,22.35,71.86,218.439,2.65,1721.475288387147,34.288974667985116,110.24634092355303,84.46307373415888,20.38139523320404
2010-10-31,1171.58,22.476666666666667,73.69,218.711,2.54,1795.1819542455567,34.44041925569968,112.91329504460222,84.51841644637445,21.240127651759426
2010-11-30,1198.89,22.603333333333335,75.52,218.803,2.76,1836.2559515751614,34.61994458104627,115.66870143462384,84.6172674307819,21.70072382776062
2010-12-31,1241.53,22.73,77.35,219.179,3.29,1898.3025364314099,34.75422797120162,118.26834727551453,84.75934752259224,22.396379773044213
2011-01-31,1282.62,22.963333333333335,78.67,220.223,3.39,1951.8322253125239,34.94454631971532,119.71639391662087,84.94241408992652,22.97829943055498
2011-02-28,1321.12,23.196666666666665,79.99000000000001,221.309,3.58,2000.5542941317342,35.12640116684515,121.1277839920654,85.16683196803427,23.489828703298528
2011-03-31,1304.49,23.43,81.31,223.467,3.41,1956.295727657775,35.13711021090362,121.93761977159939,85.43023653220781,22.899336430143645
2011-04-30,1331.51,23.733333333333334,82.16333333333334,224.906,3.46,1984.0405397254851,35.36428226310844,122.42895976170786,85.72617472950992,23.14392944728595
2011-05-31,1338.31,24.036666666666665,83.01666666666667,225.964,3.17,1984.8359620448389,35.64857201073327,123.12129883890059,86.07457634181505,23.059491506095338
2011-06-30,1287.29,24.34,83.87,225.722,3.0,1911.2154910575841,36.1371447399899,124.5202271710334,86.47708614541688,22.100831286611
2011-07-31,1325.19,24.619999999999997,84.90666666666667,225.922,3.0,1965.7431770588964,36.5204966979754,125.94775140682772,86.93754225444984,22.61098170115663
2011-08-31,1185.31,24.9,85.94333333333334,226.545,2.3,1753.4145978834226,36.83426570879958,127.1349227269049,87.45274203381817,20.049852721660496
2011-09-30,1173.88,25.18,86.98,226.889,1.98,1733.873517314634,37.19199165671319,128.47336911441278,88.02230849312296,19.698114568877713
